predictor,bucket_id,bin_label,edge,n_events,alert_rate,target_alert_rate,relative_error_pct,point_idx,mapping_new_fit_month,eval_month,seed
p1,0,>= 0.2,0.2,156544,0.7136204517579722,0.7,1.9457788225674597,0,2,3,2
p1,1,>= 0.5,0.5,156544,0.41262520441537204,0.35,17.89291554724916,0,2,3,2
p1,2,>= 0.6,0.6,156544,0.15612862837285363,0.1,56.12862837285362,0,2,3,2
p1,3,>= 0.8,0.8,156544,0.08744506336876533,0.05,74.89012673753065,0,2,3,2
p1_5,0,>= 0.2,0.2,156544,0.22980759403107115,0.7,-67.17034370984697,0,2,3,2
p1_5,1,>= 0.5,0.5,156544,0.14052918029435812,0.35,-59.848805630183385,0,2,3,2
p1_5,2,>= 0.6,0.6,156544,0.0686580130825838,0.1,-31.341986917416197,0,2,3,2
p1_5,3,>= 0.8,0.8,156544,0.048005672526574,0.05,-3.988654946852008,0,2,3,2
p2,0,>= 0.2,0.2,156544,0.7256426308258381,0.7,3.6632329751197394,0,2,3,2
p2,1,>= 0.5,0.5,156544,0.4135897894521668,0.35,18.16851127204766,0,2,3,2
p2,2,>= 0.6,0.6,156544,0.15345845257563367,0.1,53.458452575633665,0,2,3,2
p2,3,>= 0.8,0.8,156544,0.08729175183973835,0.05,74.58350367947669,0,2,3,2
custom,0,>= 0.2,0.2,156544,0.7178492947669665,0.7,2.5498992524237867,0,2,3,2
custom,1,>= 0.5,0.5,156544,0.4087477003270646,0.35,16.785057236304176,0,2,3,2
custom,2,>= 0.6,0.6,156544,0.15319015739983646,0.1,53.19015739983646,0,2,3,2
custom,3,>= 0.8,0.8,156544,0.08773252248569093,0.05,75.46504497138184,0,2,3,2
default,0,>= 0.2,0.2,156544,0.6941243356500408,0.7,-0.8393806214227315,0,2,3,2
default,1,>= 0.5,0.5,156544,0.37359464431725264,0.35,6.741326947786476,0,2,3,2
default,2,>= 0.6,0.6,156544,0.13079389820114473,0.1,30.793898201144724,0,2,3,2
default,3,>= 0.8,0.8,156544,0.07247802534750614,0.05,44.956050695012266,0,2,3,2
raw,0,>= 0.2,0.2,156544,0.005966373671300082,0.7,-99.1476609041,0,2,3,2
raw,1,>= 0.5,0.5,156544,0.0009007052330335241,0.35,-99.74265564770471,0,2,3,2
raw,2,>= 0.6,0.6,156544,0.00047271054783319704,0.1,-99.5272894521668,0,2,3,2
raw,3,>= 0.8,0.8,156544,4.471586263286999e-05,0.05,-99.91056827473427,0,2,3,2
p1,0,>= 0.2,0.2,126370,0.7456833109124001,0.7,6.526187273200028,1,3,4,2
p1,1,>= 0.5,0.5,126370,0.4306006172351033,0.35,23.02874778145809,1,3,4,2
p1,2,>= 0.6,0.6,126370,0.15975310595869271,0.1,59.75310595869271,1,3,4,2
p1,3,>= 0.8,0.8,126370,0.08753659887631558,0.05,75.07319775263116,1,3,4,2
p1_5,0,>= 0.2,0.2,126370,0.25309804542217296,0.7,-63.843136368261,1,3,4,2
p1_5,1,>= 0.5,0.5,126370,0.1545461739336868,0.35,-55.84395030466091,1,3,4,2
p1_5,2,>= 0.6,0.6,126370,0.07423439107383081,0.1,-25.765608926169193,1,3,4,2
p1_5,3,>= 0.8,0.8,126370,0.050526232491888895,0.05,1.0524649837777844,1,3,4,2
p2,0,>= 0.2,0.2,126370,0.7421302524333308,0.7,6.018607490475828,1,3,4,2
p2,1,>= 0.5,0.5,126370,0.38416554562000477,0.35,9.761584462858512,1,3,4,2
p2,2,>= 0.6,0.6,126370,0.10984410857007201,0.1,9.844108570072008,1,3,4,2
p2,3,>= 0.8,0.8,126370,0.053050565798844665,0.05,6.101131597689324,1,3,4,2
